item,descricao
1,"Jogar, arremessar ou deixar equipamentos caírem no chão ou desajustados"
2,"Deixar equipamento fora da área indicada pelo staff"
3,"Finalizar a fase, tendo deixado para trás equipamentos ou EPI (exceto mangueiras/esguicho)"
4,"Executar procedimento técnico que danifique ou tenha potencial de danificar equipamento"
5,"Iniciar a prova ou deslocar para fase seguinte antes da autorização do staff"
6,"Abrir o esguicho com apenas uma pessoa na linha de ataque"
7,"Tentar realizar o combate antes da linha de posicionamento demarcada"
8,"Não fechar o divisor ou o esguicho após o combate ao incêndio"
9,"Jogar o esguicho ao chão e não recolocar no local indicado"
10,"Arrastar a vítima pelo DRD ou outro local não permitido"
